Time_odroid,Current_Time,Latitude,Latitude_direction,Longitude,Longitude_direction,Number_of_satellites
1522234653.27,12:57:17,49.1249115,N,9.21106883333,E,06
1522234654.27,12:57:18,49.124896,N,9.21121966667,E,06
1522234655.27,12:57:19,49.1248881667,N,9.21136816667,E,06
1522234656.27,12:57:20,49.1248946667,N,9.21152433333,E,06
1522234657.27,12:57:21,49.1248925,N,9.211678,E,06
1522234658.27,12:57:22,49.1249026667,N,9.211842,E,06
1522234659.27,12:57:23,49.124919,N,9.2120025,E,07
1522234660.27,12:57:24,49.1249388333,N,9.212163,E,06
1522234661.27,12:57:25,49.1249478333,N,9.21231533333,E,06
1522234662.27,12:57:26,49.1249725,N,9.212476,E,06
1522234663.27,12:57:27,49.1249958333,N,9.2126315,E,06
1522234664.27,12:57:28,49.1250225,N,9.2127875,E,06
1522234665.27,12:57:29,49.125051,N,9.21294516667,E,05
1522234666.27,12:57:30,49.1250775,N,9.2130945,E,05
1522234667.27,12:57:31,49.125125,N,9.213251,E,05
1522234668.26,12:57:32,49.1251648333,N,9.21340966667,E,05
1522234669.27,12:57:33,49.1251996667,N,9.21356966667,E,06
1522234670.27,12:57:34,49.1252191667,N,9.21373083333,E,06
1522234671.27,12:57:35,49.1252553333,N,9.21389616667,E,06
1522234672.27,12:57:36,49.1253076667,N,9.21407166667,E,06
1522234673.27,12:57:37,49.1253395,N,9.21423716667,E,06
1522234674.27,12:57:38,49.12537,N,9.2144015,E,06
1522234675.27,12:57:39,49.1254025,N,9.214564,E,06
1522234676.27,12:57:40,49.1254298333,N,9.21472033333,E,06
1522234677.28,12:57:41,49.1254653333,N,9.2148775,E,06
1522234678.27,12:57:42,49.1254975,N,9.21503333333,E,06
1522234679.27,12:57:43,49.1255223333,N,9.215189,E,06
1522234680.27,12:57:44,49.1255488333,N,9.21534683333,E,06
1522234681.27,12:57:45,49.125586,N,9.21550933333,E,06
1522234682.27,12:57:46,49.1256098333,N,9.2156615,E,06
1522234683.27,12:57:47,49.1256356667,N,9.2158075,E,06
1522234684.27,12:57:48,49.1256576667,N,9.21595066667,E,06
1522234685.27,12:57:49,49.1256841667,N,9.21608783333,E,06
1522234686.27,12:57:50,49.1257031667,N,9.21621633333,E,06
1522234687.27,12:57:51,49.1257228333,N,9.216332,E,06
1522234688.27,12:57:52,49.125736,N,9.21642716667,E,06
1522234689.27,12:57:53,49.1257486667,N,9.21650383333,E,06
1522234690.27,12:57:54,49.1257571667,N,9.2165605,E,06
1522234691.27,12:57:55,49.1257626667,N,9.21660216667,E,06
1522234692.27,12:57:56,49.125766,N,9.21662083333,E,06
1522234693.27,12:57:57,49.1257701667,N,9.216628,E,06
1522234694.27,12:57:58,49.1257751667,N,9.21663433333,E,06
1522234695.27,12:57:59,49.1257785,N,9.216638,E,06
1522234696.27,12:58:00,49.1257818333,N,9.216642,E,06
1522234697.27,12:58:01,49.1257848333,N,9.216645,E,06
1522234698.27,12:58:02,49.125787,N,9.21664733333,E,06
1522234699.27,12:58:03,49.125788,N,9.21664883333,E,06
1522234700.27,12:58:04,49.1257898333,N,9.21665033333,E,06
1522234701.27,12:58:05,49.1257916667,N,9.21665383333,E,06
1522234702.27,12:58:06,49.1257926667,N,9.21665566667,E,06
1522234703.27,12:58:07,49.1257945,N,9.2166575,E,06
1522234704.27,12:58:08,49.125794,N,9.21665866667,E,06
1522234705.27,12:58:09,49.1257956667,N,9.21666016667,E,06
1522234706.27,12:58:10,49.125797,N,9.21666183333,E,06
1522234707.27,12:58:11,49.1257981667,N,9.21666266667,E,06
1522234708.27,12:58:12,49.1258001667,N,9.21666383333,E,06
1522234709.27,12:58:13,49.1258035,N,9.21666616667,E,06
1522234710.26,12:58:14,49.1258061667,N,9.21666833333,E,06
1522234711.27,12:58:15,49.1258075,N,9.21666966667,E,06
1522234712.27,12:58:16,49.1258078333,N,9.2166705,E,06
1522234713.27,12:58:17,49.1258108333,N,9.2166725,E,06
